coverage,path,month,index,nav,cash,cash_wealth,gross_premium,call_settlement
0.7,震荡,1,103.0,101.00413816989699,2.05752849676968,103.06166666666667,0.02,0.020999999999999998
0.7,震荡,2,100.94,99.10989969650197,4.11505699353936,103.22495669004132,0.02,0.0
0.7,震荡,3,102.9588,99.78945626301736,6.17258549030904,105.9620417533264,0.02,0.013999999999999999
0.7,震荡,4,99.870036,96.89535949124271,8.23011398707872,105.12547347832144,0.02,0.0
0.7,震荡,5,100.86873636,97.2230717606158,10.287642483848401,107.5107142444642,0.02,0.006999999999999999
0.7,震荡,6,100.86873636,97.26718199840475,12.345170980618082,109.61235297902283,0.02,0.0
0.7,震荡,7,102.8861110872,97.89584884449101,14.402699477387763,112.29854832187877,0.02,0.013999999999999999
0.7,震荡,8,100.828388865456,95.99658530335326,16.460227974157444,112.4568132775107,0.02,0.0
0.7,震荡,9,103.85324053141969,96.87815225995459,18.517756470927125,115.39590873088171,0.02,0.020999999999999998
0.7,震荡,10,100.73764331547709,94.00846192007229,20.575284967696806,114.5837468877691,0.02,0.0
0.7,震荡,11,101.74501974863186,94.26510839423507,22.632813464466487,116.89792185870155,0.02,0.006999999999999999
0.7,震荡,12,101.74501974863186,94.24527732392077,24.690341961236168,118.93561928515695,0.02,0.0
0.7,持续上涨,1,103.0,101.00413816989699,2.05752849676968,103.06166666666667,0.02,0.020999999999999998
0.7,持续上涨,2,106.09,102.039019703429,4.11505699353936,106.15407669696836,0.02,0.020999999999999998
0.7,持续上涨,3,109.2727,103.10558585991265,6.17258549030904,109.2781713502217,0.02,0.020999999999999998
0.7,持续上涨,4,112.550881,104.2048067168873,8.23011398707872,112.43492070396603,0.02,0.020999999999999998
0.7,持续上涨,5,115.92740743,105.337682052433,10.287642483848401,115.6253245362814,0.02,0.020999999999999998
0.7,持续上涨,6,119.4052296529,106.50524225450198,12.345170980618082,118.85041323512006,0.02,0.020999999999999998
0.7,持续上涨,7,122.987386542487,107.70854925809098,14.402699477387763,122.11124873547874,0.02,0.020999999999999998
0.7,持续上涨,8,126.67700813876162,108.94869751110653,16.460227974157444,125.40892548526398,0.02,0.020999999999999998
0.7,持续上涨,9,130.47731838292447,110.22681496980191,18.517756470927125,128.74457144072903,0.02,0.020999999999999998
0.7,持续上涨,10,134.39163793441222,111.544064124691,20.575284967696806,132.1193490923878,0.02,0.020999999999999998
0.7,持续上涨,11,138.4233870724446,112.90164305787229,22.632813464466487,135.5344565223388,0.02,0.020999999999999998
0.7,持续上涨,12,142.57608868461793,114.30078653272447,24.690341961236168,138.99112849396064,0.02,0.020999999999999998
0.7,持续下跌,1,97.0,97.104138169897,2.05752849676968,99.16166666666668,0.02,0.0
0.7,持续下跌,2,94.09,94.23255331480303,4.11505699353936,98.34761030834238,0.02,0.0
0.7,持续下跌,3,91.2673,91.38504191274426,6.17258549030904,97.5576274030533,0.02,0.0
0.7,持续下跌,4,88.529281,88.5614021479394,8.23011398707872,96.79151613501813,0.02,0.0
0.7,持续下跌,5,85.87340257,85.76143389649617,10.287642483848401,96.04907638034457,0.02,0.0
0.7,持续下跌,6,83.29720049289999,82.98493871222753,12.345170980618082,95.33010969284561,0.02,0.0
0.7,持续下跌,7,80.79828447811299,80.23171981258702,14.402699477387763,94.63441928997477,0.02,0.0
