date,nav,distribution,tr_index,nav_index,cash_wealth_index,nav_drawdown,tr_drawdown
2025-12-10,8.7914,0.0,100.0,100.0,100.0,0.0,0.0
2025-12-11,8.7874,0.0,99.95450098960349,99.95450098960347,99.95450098960347,-0.0004549901039652138,-0.00045499010396510275
2025-12-12,8.8833,0.0,101.04533976386016,101.04533976386014,101.04533976386014,0.0,0.0
2025-12-15,8.7877,0.0,99.95791341538322,99.95791341538322,99.95791341538322,-0.010761766460662181,-0.010761766460662292
2025-12-16,8.6555,0.0,98.45417112177812,98.45417112177812,98.45417112177812,-0.025643623428230344,-0.025643623428230566
2025-12-17,8.7352,0.0,99.36073890392886,99.36073890392886,99.36073890392886,-0.01667173235171593,-0.01667173235171615
2025-12-18,8.7387,0.0,99.40055053802581,99.4005505380258,99.4005505380258,-0.016277734625645968,-0.016277734625645968
2025-12-19,8.7979,0.0,100.07393589189438,100.07393589189435,100.07393589189435,-0.009613544516114514,-0.009613544516114403
2025-12-22,8.8373,0.0,100.52210114430015,100.52210114430014,100.52210114430014,-0.005178255828351852,-0.005178255828351852
2025-12-23,8.8288,0.0,100.42541574720752,100.4254157472075,100.4254157472075,-0.006135107448808519,-0.006135107448808408
2025-12-24,8.8342,0.0,100.48683941124283,100.48683941124281,100.48683941124281,-0.005527225242871414,-0.005527225242871414
2025-12-29,8.8098,0.0,100.20929544782403,100.209295447824,100.209295447824,-0.008273952247475735,-0.008273952247475513
2025-12-30,8.9111,0.0,101.361557886116,101.36155788611599,101.36155788611599,0.0,0.0
2025-12-31,8.8602,0.0,100.78258297882026,100.78258297882023,100.78258297882023,-0.005711977196979023,-0.005711977196978801
2026-01-02,8.9685,0.0,102.01446868530614,102.0144686853061,102.0144686853061,0.0,0.0
2026-01-05,8.9778,0.0,102.12025388447806,102.12025388447803,102.12025388447803,0.0,0.0
2026-01-06,9.0062,0.0,102.44329685829338,102.44329685829334,102.44329685829334,0.0,0.0
2026-01-07,8.9775,0.0,102.11684145869832,102.11684145869826,102.11684145869826,-0.0031866936110680477,-0.0031866936110679367
2026-01-08,8.9462,0.0,101.76081170234552,101.76081170234548,101.76081170234548,-0.006662077235682129,-0.006662077235682129
2026-01-09,8.9561,0.0,101.87342175307691,101.87342175307688,101.87342175307688,-0.0055628344917945105,-0.0055628344917946215
2026-01-12,9.026,0.0,102.66851695975618,102.66851695975615,102.66851695975615,0.0,0.0
2026-01-13,9.0381,0.0,102.80615146620566,102.80615146620562,102.80615146620562,0.0,0.0
2026-01-14,9.0522,0.0,102.9665354778534,102.96653547785336,102.96653547785336,0.0,0.0
2026-01-15,9.0516,0.0,102.95971062629393,102.9597106262939,102.9597106262939,-6.628222973403819e-05,-6.628222973414921e-05
2026-01-16,9.0546,0.0,102.99383488409133,102.99383488409129,102.99383488409129,0.0,0.0
2026-01-19,9.0328,0.0,102.74586527743027,102.74586527743021,102.74586527743021,-0.0024076160183775785,-0.0024076160183774675
2026-01-20,9.0298,0.0,102.71174101963288,102.71174101963283,102.71174101963283,-0.0027389393236587622,-0.0027389393236586512
2026-01-21,9.0543,0.0,102.99042245831158,102.99042245831154,102.99042245831154,-3.313233052815168e-05,-3.313233052815168e-05
2026-01-22,9.0638,0.0,103.09848260800334,103.0984826080033,103.0984826080033,0.0,0.0
2026-01-23,9.0867,0.0,103.35896444252344,103.35896444252339,103.35896444252339,0.0,0.0
2026-01-26,9.0985,0.0,103.49318652319317,103.49318652319313,103.49318652319313,0.0,0.0
2026-01-27,9.1235,0.0,103.77755533817145,103.7775553381714,103.7775553381714,0.0,0.0
2026-01-28,9.1181,0.0,103.71613167413615,103.7161316741361,103.7161316741361,-0.000591878116950717,-0.000591878116950717
2026-01-29,9.1407,0.0,103.97320108287651,103.97320108287647,103.97320108287647,0.0,0.0
2026-01-30,8.8549,0.14,102.31476215392323,100.72229679004482,102.31476215392317,-0.03126675199929996,-0.015950638353736557
2026-02-02,8.6736,0.0,100.21991451267304,98.66005414382238,100.25251950770073,-0.051101119170304354,-0.03609859589887732
2026-02-03,8.6549,0.0,100.00384363075699,98.44734627021863,100.03981163409696,-0.05314691435010466,-0.03817673603177385
2026-02-04,8.653,0.0,99.98188990478693,98.42573424028028,100.01819960415862,-0.05335477589243731,-0.03838788395971515
2026-02-05,8.6917,0.0,100.42905263901959,98.86593716586665,100.458402529745,-0.04912096447755654,-0.03408713405901487
2026-02-06,8.6431,0.0,99.86749943789019,98.31312418954889,99.90558955342723,-0.05443784392880213,-0.03948807579477809
2026-02-09,8.7711,0.0,101.34648729271657,99.76909252223766,101.361557886116,-0.040434540024287036,-0.025263373280834167
2026-02-10,8.8384,0.0,102.12411137576201,100.53461337215917,102.1270787360375,-0.03307186539324125,-0.017784291412174524
2026-02-11,8.8652,0.0,102.43377445786628,100.83945674181587,102.43192210569421,-0.03013992363823359,-0.01480599432331764
2026-02-12,8.7919,0.0,101.58682281912586,100.00568737629958,101.59815274017791,-0.03815900313980336,-0.02295185912231834
2026-02-13,8.661,0.0,100.07432664571355,98.51673226107333,100.10919762495168,-0.052479569398405035,-0.03749884005259385
2026-02-16,8.7039,0.0,100.57001866893272,99.00470914757605,100.5971745114544,-0.047786274574157406,-0.03273134210065476
2026-02-20,8.5996,0.0,99.36487465910153,97.8183224514867,99.41078781536503,-0.059196779240102027,-0.04432225203975115
2026-02-23,8.8242,0.0,101.9600361606172,100.3730918852515,101.96555724912983,-0.034625356920148564,-0.01936234434731543
2026-02-24,8.6489,0.0,99.93451607506199,98.37909775462383,99.97156311850219,-0.053803319220628976,-0.03884351896211513
2026-02-25,8.6792,0.0,100.28462023132168,98.72375275837751,100.31621812225586,-0.050488474624481805,-0.03547626516389235
2026-02-26,8.4622,0.0,97.77727363368632,96.25543144436608,97.84789680824443,-0.07422845077510498,-0.05959158114456298
2026-02-27,8.3553,0.14,98.15973064927033,95.03947039151899,98.22440111927565,-0.08592339755161005,-0.05591316197884777
2026-03-02,8.2498,0.0,96.92029561001405,93.83943399231069,97.02436472006735,-0.09746518319165931,-0.06783387833986787
2026-03-03,8.1831,0.0,96.13669070841789,93.08073799394863,96.2656687217053,-0.10476221733565283,-0.07537048290176407
2026-03-04,8.0887,0.0,95.02766068277056,92.00696134859066,95.19189207634733,-0.11508965396523263,-0.08603698171200391
2026-03-05,8.0712,0.0,94.82206719284653,91.80790317810587,94.99283390586254,-0.11700416817092807,-0.08801435172449545
2026-03-06,8.2104,0.0,96.45741655269939,93.39126873990492,96.57619946766157,-0.10177557517476787,-0.07228578568227728
2026-03-09,8.1738,0.0,96.02743245377256,92.97495279477673,96.15988352253339,-0.10577964488496516,-0.07642131382268802
2026-03-10,8.2787,0.0,97.2598185733743,94.16816434242557,97.35309507018222,-0.09430349973196805,-0.06456839300495332
2026-03-11,8.2851,0.0,97.33500704968937,94.24096275906,97.42589348681666,-0.09360333453674241,-0.06384524054324225
2026-03-12,8.2868,0.0,97.35497898871056,94.26029983847852,97.44523056623518,-0.09341735315676059,-0.06365315317060027
2026-03-13,8.268,0.0,97.13411283953505,94.04645448961486,97.23138521737152,-0.09547408841773619,-0.0657774135268766
2026-03-16,8.3822,0.0,98.47575721378212,95.34545123643561,98.53038196419227,-0.08298051571542686,-0.05287366178821806
2026-03-17,8.3949,0.0,98.62495934646985,95.48991059444457,98.67484132220123,-0.08159112540615077,-0.05143865612200982
2026-03-18,8.4133,0.0,98.84112621587568,95.69920604226859,98.88413677002525,-0.07957815046987671,-0.049359592794590235
2026-03-19,8.3255,0.0,97.80963430642828,94.7005027640649,97.88543349182154,-0.08918354174187981,-0.059280340628690364
2026-03-20,8.2422,0.0,96.8310092943899,93.75298587255728,96.93791660031394,-0.09829662936099004,-0.06869262188814984
2026-03-23,8.0056,0.0,94.05138531061704,91.06171940760288,94.24665013535954,-0.12418086142199203,-0.09542666445703496
2026-03-24,8.1736,0.0,96.02508281388772,92.9726778442569,96.15760857201356,-0.10580152504731588,-0.07644391233711645
2026-03-25,8.2526,0.0,96.9531905684019,93.87128329958823,97.05621402734491,-0.09715886091874826,-0.0675174991378692
2026-03-26,8.0859,0.0,94.99476572438273,91.97511204131311,95.16004276906978,-0.1153959762381438,-0.08635336091400247
2026-03-27,8.1457,0.0,95.69730804995169,92.65532224674114,95.8402529744978,-0.10885380769525332,-0.07959640509988875
2026-03-30,8.1027,0.0,95.19213547470979,92.16620788497852,95.35113861273517,-0.11355804260067615,-0.08445508570201066
2026-03-31,7.959,0.14,95.14866713684013,90.53165593648338,95.30905202811839,-0.12927893924972944,-0.08487315821893748
2026-04-01,8.0244,0.0,95.9305144582058,91.27556475646655,96.05296084810155,-0.12212412616101631,-0.0773534578228473
2026-04-02,8.0162,0.0,95.83248467173489,91.18229178515367,95.95968787678868,-0.12302121281739942,-0.078296294875568
2026-04-08,8.1096,0.0,96.94906784934275,92.24469367791251,97.02208976954752,-0.11280317699957354,-0.0675571508848214
2026-04-09,8.1125,0.0,96.98373692016784,92.27768046045,97.05507655208501,-0.11248591464548674,-0.06722370851251758
2026-04-10,8.1257,0.0,97.141540966682,92.42782719475852,97.20522328639353,-0.11104182393033368,-0.06570597081789409
2026-04-13,8.1229,0.0,97.10806738105778,92.39597788748095,97.17337397911595,-0.11134814620324496,-0.06602791517735973
2026-04-14,8.1487,0.0,97.41650256288094,92.68944650453854,97.46684259617354,-0.10852560525999111,-0.06306142786514057
2026-04-15,8.165,0.0,97.61136665062192,92.87485497190436,97.65225106353937,-0.10674237202840076,-0.06118725177253714
2026-04-16,8.2062,0.0,98.1039065533783,93.34349477898857,98.12089087062358,-0.10223505858413473,-0.0564500704832569
2026-04-17,8.1916,0.0,97.929365714052,93.17742339104124,97.95481948267624,-0.10383231043574359,-0.058128780357613596
2026-04-20,8.1937,0.0,97.95447090327018,93.20131037149942,97.97870646313443,-0.10360256873106022,-0.05788732208801417
2026-04-21,8.2079,0.0,98.124229801793,93.36283185840709,98.14022795004209,-0.1020490772041529,-0.05625460426500983
2026-04-22,8.1966,0.0,97.98913997409527,93.23429715403691,98.01169324567192,-0.10328530637697342,-0.057553879715710465
2026-04-23,8.1901,0.0,97.91143343603905,93.16036126214254,97.93775735377756,-0.1039964116533747,-0.0583012505501842
2026-04-24,8.2023,0.0,98.05728263054456,93.29913324385194,98.07652933548695,-0.10266172174997568,-0.05689849298394112
2026-04-27,8.1967,0.0,97.99033545929613,93.23543462929682,98.01283072093182,-0.10327436629579811,-0.05754238170287229
2026-04-28,8.19,0.0,97.91023795083818,93.15922378688263,97.93661987851763,-0.10400735173455011,-0.058312748563022265
2026-04-29,8.2259,0.0,98.33941713794869,93.56757740519144,98.34497349682644,-0.10007986259258062,-0.05418496195415934
2026-04-30,8.017,0.14,97.51572783455276,91.19139158723297,97.56125304274632,-0.1229336921679961,-0.062107092799581376
2026-05-04,8.0862,0.0,98.35745022025203,91.97852446709285,98.3483859226062,-0.11536315599461755,-0.054011522239737486
2026-05-05,8.067,0.0,98.12390874907537,91.76012921718953,98.12999067270289,-0.11746365158029493,-0.05625769210605247
2026-05-06,8.1048,0.0,98.58369352045445,92.19009486543668,98.55995632095002,-0.11332830089599288,-0.0518355451817446
2026-05-07,8.1586,0.0,99.23809618448077,92.80205655526993,99.17191801078327,-0.1074425372236264,-0.045541590035507507
2026-05-08,8.1492,0.0,99.12375817255054,92.6951338808381,99.06499533635144,-0.10847090485411415,-0.04664127736589074
2026-05-11,8.1485,0.0,99.11524363974722,92.6871715540187,99.05703300953206,-0.10854748542234205,-0.04672316897560014
2026-05-12,8.1502,0.0,99.13592179084098,92.70650863343722,99.07637008895057,-0.10836150404236022,-0.04652428935202024
2026-05-13,8.1555,0.0,99.20038896778037,92.76679482221262,99.13665627772598,-0.10778167974006392,-0.0459042528785063
2026-05-14,8.1522,0.0,99.16024902742188,92.7292581386355,99.09911959414885,-0.10814270241885204,-0.04629031332427913
2026-05-15,8.0932,0.0,98.4425955482852,92.05814773528675,98.4280091908001,-0.11459735031233953,-0.05319260614264343
2026-05-18,8.0333,0.0,97.71399481268715,91.37680005459883,97.74666151011218,-0.1211504589364053,-0.06020018817349082
2026-05-19,8.0752,0.0,98.22365041905708,91.85340218850241,98.22326364401576,-0.11656656492391182,-0.05529839039231366
2026-05-20,8.0537,0.0,97.96213262581234,91.60884500762107,97.97870646313443,-0.11891868237662362,-0.0578136326905313
2026-05-21,7.9464,0.0,96.65697638324687,90.38833405373433,96.75819550924767,-0.13065738947783023,-0.07036644657884406
2026-05-22,8.0202,0.0,97.55465141308223,91.2277907955502,97.59765225106356,-0.12258360957038317,-0.0617327311551954
2026-05-26,8.046,0.0,97.86847276497588,91.52125941260778,97.89112086812113,-0.11976106862712943,-0.05871444039733453
2026-05-27,7.9359,0.0,96.52925839119713,90.26889915144346,96.63876060695681,-0.13180609800124732,-0.07159482072448509
2026-05-28,7.844,0.0,95.41142187030461,89.22355938758332,95.59342084309667,-0.1418600326014421,-0.08234601919919105
2026-05-29,7.7551,0.15,96.15461894785122,88.21234388152058,96.28841822690357,-0.15158576476637475,-0.07519805155169879
2026-06-01,7.7944,0.0,96.64189525952362,88.65937165866643,96.73544600404942,-0.1472863128644416,-0.0705114947601656
2026-06-02,7.854,0.0,97.38086900445171,89.33730691357464,97.41338125895763,-0.14076602448390185,-0.06340414654705195
2026-06-03,7.8305,0.0,97.0894951285153,89.07000022749506,97.14607457287804,-0.1433369435601214,-0.06620654055725617
2026-06-04,7.8021,0.0,96.73736669972405,88.74695725367974,96.82303159906273,-0.14644392661393557,-0.06959326353129036
2026-06-05,7.7863,0.0,96.54146426398806,88.56723616261345,96.64331050799645,-0.1481724594396493,-0.07147742631261933
2026-06-08,7.7372,0.0,95.93267884660601,88.00873580999612,96.08481015537913,-0.15354403929677185,-0.07733264103181203
2026-06-09,7.7251,0.0,95.78265229771961,87.87110130354667,95.94717564892964,-0.15486778911899524,-0.0787755758200448
2026-06-10,7.7384,0.0,95.94755751261128,88.0223855131151,96.0984598584981,-0.15341275832266688,-0.07718954006107814
2026-06-11,7.6793,0.0,95.21478321185204,87.35013763450645,95.42621197988946,-0.15987834629732967,-0.08423726286971955
2026-06-12,7.7841,0.0,96.51418670964507,88.54221170689539,96.61828605227836,-0.14841314122550797,-0.07173977809229803
2026-06-15,7.805,0.0,96.77332347590342,88.77994403621722,96.85601838160022,-0.146126664259849,-0.06924743618535034
2026-06-16,7.7285,0.0,95.82480851806787,87.90977546238369,95.9858498077667,-0.1544958263590318,-0.0783701230696322
2026-06-17,7.657,0.0,94.9382880019209,87.09648065154583,95.17255499692884,-0.16231798439944445,-0.08689655590918988
2026-06-18,7.5198,0.0,93.23716052198574,85.53586459494507,93.61193894032806,-0.17732777577209635,-0.10325776689642485
